,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
1127,NZ_RZSP01000001.1_Mesorhizobium_sp._M1A.F.Ca.IN.020.32.1.1_NODE_1_length_234053_cov_4.43392__whole_genome_shotgun_sequence_fragment_2,Unassigned,Unassigned,Unassigned,154_0,Clustered,3,VC_154_0,3,0.1875,0.99796312,0.1871,1,1,1,1.0
1128,NZ_RZSP01000088.1_Mesorhizobium_sp._M1A.F.Ca.IN.020.32.1.1_NODE_88_length_23966_cov_4.59931__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,81_0,Clustered,8,VC_81_0,8,0.8173,0.99999997,0.8173,1,1,1,0.7143
1129,NZ_RZSQ01000003.1_Mesorhizobium_sp._M1A.F.Ca.IN.020.03.1.1_NODE_3_length_52569_cov_3.65722__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,26_0,Clustered,8,VC_26_0,8,0.711,1.0,0.711,1,1,1,0.8214
1130,NZ_RZSR01000054.1_Mesorhizobium_sp._M1A.F.Ca.IN.020.06.1.1_NODE_54_length_12520_cov_2.43629__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,81_0,Clustered,8,VC_81_0,8,0.8173,0.99999997,0.8173,1,1,1,0.7143
1131,NZ_RZSR01000055.1_Mesorhizobium_sp._M1A.F.Ca.IN.020.06.1.1_NODE_55_length_12374_cov_2.42263__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,315_0,Clustered,4,VC_315_0,4,1.0,1.0,1.0,1,1,1,1.0
1132,NZ_RZSS01000029.1_Mesorhizobium_sp._M1A.F.Ca.IN.022.02.1.1_NODE_29_length_44817_cov_4.07975__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,77_0,Clustered,3,VC_77_0,3,0.1295,0.97159089,0.1258,1,1,1,1.0
1133,NZ_RZSS01000082.1_Mesorhizobium_sp._M1A.F.Ca.IN.022.02.1.1_NODE_82_length_23831_cov_3.52915__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,76_0,Clustered,5,VC_76_0,5,0.6168,0.99999876,0.6168,1,1,1,1.0
1134,NZ_RZSS01000108.1_Mesorhizobium_sp._M1A.F.Ca.IN.022.02.1.1_NODE_107_length_19792_cov_2.95718__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,153_0,Clustered,10,VC_153_0,10,0.6328,1.0,0.6328,1,1,1,1.0
1135,NZ_RZST01000003.1_Mesorhizobium_sp._M1A.F.Ca.IN.022.07.1.1_NODE_3_length_74230_cov_3.59234__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,26_0,Clustered,8,VC_26_0,8,0.711,1.0,0.711,1,1,1,0.8214
1136,NZ_RZST01000005.1_Mesorhizobium_sp._M1A.F.Ca.IN.022.07.1.1_NODE_5_length_40889_cov_3.40886__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,76_0,Clustered,5,VC_76_0,5,0.6168,0.99999876,0.6168,1,1,1,1.0
1137,NZ_RZSU01000007.1_Mesorhizobium_sp._M5C.F.Cr.IN.023.01.1.1_NODE_7_length_111743_cov_5.23834__whole_genome_shotgun_sequence_fragment_2,Unassigned,Unassigned,Unassigned,78_0,Clustered,3,VC_78_0,3,0.3083,0.65073232,0.2006,1,1,1,1.0
1138,NZ_RZSU01000038.1_Mesorhizobium_sp._M5C.F.Cr.IN.023.01.1.1_NODE_38_length_58474_cov_4.93071__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,315_0,Clustered,4,VC_315_0,4,1.0,1.0,1.0,1,1,1,1.0
1139,NZ_RZSU01000063.1_Mesorhizobium_sp._M5C.F.Cr.IN.023.01.1.1_NODE_63_length_38835_cov_4.41994__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,77_0,Clustered,3,VC_77_0,3,0.1295,0.97159089,0.1258,1,1,1,1.0
1140,NZ_RZSU01000142.1_Mesorhizobium_sp._M5C.F.Cr.IN.023.01.1.1_NODE_142_length_14113_cov_4.43965__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,80_0,Clustered,3,VC_80_0,3,0.2544,0.96069563,0.2444,1,1,1,1.0
1141,NZ_RZSU01000158.1_Mesorhizobium_sp._M5C.F.Cr.IN.023.01.1.1_NODE_158_length_11780_cov_5.2583__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,83_0,Clustered,3,VC_83_0,3,0.5274,0.99357438,0.524,1,1,1,1.0
1142,NZ_RZSV01000007.1_Mesorhizobium_sp._M1A.F.Ca.IN.020.03.2.1_NODE_7_length_55547_cov_3.42434__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,81_0,Clustered,8,VC_81_0,8,0.8173,0.99999997,0.8173,1,1,1,0.7143
1143,NZ_RZSV01000009.1_Mesorhizobium_sp._M1A.F.Ca.IN.020.03.2.1_NODE_9_length_54590_cov_3.9697__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,26_0,Clustered,8,VC_26_0,8,0.711,1.0,0.711,1,1,1,0.8214
1144,NZ_RZSZ01000179.1_Mesorhizobium_sp._M1A.F.Ca.IN.022.04.1.1_NODE_179_length_11583_cov_2.89115__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,81_0,Clustered,8,VC_81_0,8,0.8173,0.99999997,0.8173,1,1,1,0.7143
1145,NZ_RZTA01000065.1_Mesorhizobium_sp._M6A.T.Cr.TU.017.01.1.1_NODE_65_length_35779_cov_3.86581__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,168_0,Clustered,2,VC_168_0,2,0.1891,0.95036946,0.1797,1,1,1,1.0
1146,NZ_RZTA01000134.1_Mesorhizobium_sp._M6A.T.Cr.TU.017.01.1.1_NODE_134_length_15046_cov_4.00972__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,307_0,Clustered,2,VC_307_0,2,0.096,0.69983876,0.0672,1,1,1,1.0
1147,NZ_RZTB01000023.1_Mesorhizobium_sp._M7A.F.Ca.MR.148.00.0.0_NODE_23_length_81985_cov_4.88171__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,26_0,Clustered,8,VC_26_0,8,0.711,1.0,0.711,1,1,1,0.8214
1148,NZ_RZTB01000042.1_Mesorhizobium_sp._M7A.F.Ca.MR.148.00.0.0_NODE_42_length_46597_cov_5.57133__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,78_0,Clustered,3,VC_78_0,3,0.3083,0.65073232,0.2006,1,1,1,1.0
1149,NZ_RZTB01000126.1_Mesorhizobium_sp._M7A.F.Ca.MR.148.00.0.0_NODE_126_length_16267_cov_2.55397__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,307_0,Clustered,2,VC_307_0,2,0.096,0.69983876,0.0672,1,1,1,1.0
1150,NZ_RZTC01000005.1_Mesorhizobium_sp._M7A.F.Ca.MR.176.00.0.0_NODE_5_length_122140_cov_5.23404__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,154_0,Clustered,3,VC_154_0,3,0.1875,0.99796312,0.1871,1,1,1,1.0
1151,NZ_RZTC01000009.1_Mesorhizobium_sp._M7A.F.Ca.MR.176.00.0.0_NODE_9_length_102033_cov_4.56643__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,83_0,Clustered,3,VC_83_0,3,0.5274,0.99357438,0.524,1,1,1,1.0
1152,NZ_RZTC01000161.1_Mesorhizobium_sp._M7A.F.Ca.MR.176.00.0.0_NODE_160_length_10714_cov_4.79257__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,316_0,Clustered,4,VC_316_0,4,1.0,1.0,1.0,1,1,1,1.0
1153,NZ_RZTE01000015.1_Mesorhizobium_sp._M7A.F.Ca.MR.245.00.0.0_NODE_15_length_137082_cov_6.18038__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,26_0,Clustered,8,VC_26_0,8,0.711,1.0,0.711,1,1,1,0.8214
1154,NZ_RZTF01000078.1_Mesorhizobium_sp._M7A.F.Ca.MR.362.00.0.0_NODE_78_length_20012_cov_2.91417__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,201_0,Clustered,2,VC_201_0,2,0.1358,0.95604303,0.1298,1,1,1,1.0
1155,NZ_RZTF01000133.1_Mesorhizobium_sp._M7A.F.Ca.MR.362.00.0.0_NODE_133_length_15111_cov_3.10062__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,200_0,Clustered,3,VC_200_0,3,0.4731,0.81692172,0.3865,1,1,1,1.0
1156,NZ_RZTI01000059.1_Mesorhizobium_sp._M6A.T.Ce.TU.002.03.1.1_NODE_59_length_35292_cov_4.27456__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,315_0,Clustered,4,VC_315_0,4,1.0,1.0,1.0,1,1,1,1.0
1157,NZ_RZTJ01000005.1_Mesorhizobium_sp._M6A.T.Ce.TU.016.01.1.1_NODE_5_length_442171_cov_5.97135__whole_genome_shotgun_sequence_fragment_4,Unassigned,Unassigned,Unassigned,77_1,Clustered/Singleton,1,VC_77_1,1,0.0,1.0,0.0,1,1,1,1.0
1158,NZ_RZTS01000039.1_Mesorhizobium_sp._M7A.T.Ca.US.000.02.1.1_NODE_39_length_28964_cov_4.20765__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,200_0,Clustered,3,VC_200_0,3,0.4731,0.81692172,0.3865,1,1,1,1.0
1159,NZ_RZTS01000048.1_Mesorhizobium_sp._M7A.T.Ca.US.000.02.1.1_NODE_48_length_27294_cov_4.0325__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,201_0,Clustered,2,VC_201_0,2,0.1358,0.95604303,0.1298,1,1,1,1.0
1160,NZ_RZTV01000002.1_Mesorhizobium_sp._M1A.T.Ca.IN.004.03.1.1_NODE_2_length_889125_cov_92.6278__whole_genome_shotgun_sequence_fragment_5,Unassigned,Unassigned,Unassigned,76_0,Clustered,5,VC_76_0,5,0.6168,0.99999876,0.6168,1,1,1,1.0
1161,NZ_SADK02000010.1_Mesorhizobium_sp._M2E.F.Ca.ET.154.01.1.1_NODE_10_length_81816_cov_95.9462__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,13_0,Clustered,2,VC_13_0,2,0.9371,0.5,0.4685,1,1,1,1.0
1162,NZ_SADM02000001.1_Mesorhizobium_sp._M2E.F.Ca.ET.166.01.1.1_NODE_1_length_2175095_cov_17.3373__whole_genome_shotgun_sequence_fragment_10,Unassigned,Unassigned,Unassigned,80_0,Clustered,3,VC_80_0,3,0.2544,0.96069563,0.2444,1,1,1,1.0
1163,NZ_SADM02000001.1_Mesorhizobium_sp._M2E.F.Ca.ET.166.01.1.1_NODE_1_length_2175095_cov_17.3373__whole_genome_shotgun_sequence_fragment_4,Unassigned,Unassigned,Unassigned,319_0,Clustered,2,VC_319_0,2,1.0,1.0,1.0,1,1,1,1.0
1164,NZ_SADS02000007.1_Mesorhizobium_sp._M00.F.Ca.ET.217.01.1.1_NODE_7_length_320837_cov_23.947__whole_genome_shotgun_sequence_fragment_7,Unassigned,Unassigned,Unassigned,26_0,Clustered,8,VC_26_0,8,0.711,1.0,0.711,1,1,1,0.8214
1165,NZ_SADS02000009.1_Mesorhizobium_sp._M00.F.Ca.ET.217.01.1.1_NODE_9_length_266751_cov_22.225__whole_genome_shotgun_sequence_fragment_3,Unassigned,Unassigned,Unassigned,316_0,Clustered,4,VC_316_0,4,1.0,1.0,1.0,1,1,1,1.0
1166,NZ_SADU02000018.1_Mesorhizobium_sp._M00.F.Ca.ET.220.01.1.1_NODE_18_length_203997_cov_20.4128__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,153_0,Clustered,10,VC_153_0,10,0.6328,1.0,0.6328,1,1,1,1.0
1167,NZ_SRSQ01000002.1_Mesorhizobium_sp._M8A.F.Ca.ET.142.01.1.1_NODE_2_length_759813_cov_19.3203__whole_genome_shotgun_sequence_fragment_7,Unassigned,Unassigned,Unassigned,15_0,Clustered,7,VC_15_0,7,0.2201,0.9963576,0.2193,1,1,1,0.9524
1168,NZ_SRTH01000003.1_Mesorhizobium_sp._M8A.F.Ca.ET.165.01.1.1_NODE_3_length_798908_cov_15.2807__whole_genome_shotgun_sequence_fragment_7,Unassigned,Unassigned,Unassigned,312_0,Clustered,3,VC_312_0,3,0.6312,0.89203753,0.563,1,1,1,1.0
1169,NZ_SRTK01000002.1_Mesorhizobium_sp._M4B.F.Ca.ET.169.01.1.1_NODE_2_length_635967_cov_15.5589__whole_genome_shotgun_sequence_fragment_4,Unassigned,Unassigned,Unassigned,153_0,Clustered,10,VC_153_0,10,0.6328,1.0,0.6328,1,1,1,1.0
1170,NZ_SRTO01000006.1_Mesorhizobium_sp._M3A.F.Ca.ET.174.01.1.1_NODE_6_length_424267_cov_21.9584__whole_genome_shotgun_sequence_fragment_4,Unassigned,Unassigned,Unassigned,317_0,Clustered,2,VC_317_0,2,0.6978,0.5,0.3489,1,1,1,1.0
1171,NZ_SRTP01000011.1_Mesorhizobium_sp._M3A.F.Ca.ET.175.01.1.1_NODE_11_length_220827_cov_20.5814__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,78_0,Clustered,3,VC_78_0,3,0.3083,0.65073232,0.2006,1,1,1,1.0
1172,NZ_SRTW01000001.1_Mesorhizobium_sp._M8A.F.Ca.ET.182.01.1.1_NODE_1_length_1625586_cov_23.5148__whole_genome_shotgun_sequence_fragment_2,Unassigned,Unassigned,Unassigned,153_0,Clustered,10,VC_153_0,10,0.6328,1.0,0.6328,1,1,1,1.0
1173,NZ_SRUC01000002.1_Mesorhizobium_sp._M4B.F.Ca.ET.190.01.1.1_NODE_2_length_601692_cov_17.8019__whole_genome_shotgun_sequence_fragment_9,Unassigned,Unassigned,Unassigned,153_0,Clustered,10,VC_153_0,10,0.6328,1.0,0.6328,1,1,1,1.0
1174,NZ_SRUO01000019.1_Mesorhizobium_sp._M4B.F.Ca.ET.203.01.1.1_NODE_19_length_129656_cov_19.8574__whole_genome_shotgun_sequence_fragment_1,Unassigned,Unassigned,Unassigned,310_0,Clustered,2,VC_310_0,2,1.0,1.0,1.0,1,1,1,1.0
1175,NZ_SRUU01000009.1_Mesorhizobium_sp._M1C.F.Ca.ET.210.01.1.1_NODE_9_length_221169_cov_20.712__whole_genome_shotgun_sequence_fragment_2,Unassigned,Unassigned,Unassigned,319_0,Clustered,2,VC_319_0,2,1.0,1.0,1.0,1,1,1,1.0
1176,NZ_SRUZ01000008.1_Mesorhizobium_sp._M8A.F.Ca.ET.218.01.1.1_NODE_8_length_386473_cov_18.4867__whole_genome_shotgun_sequence_fragment_2,Unassigned,Unassigned,Unassigned,83_0,Clustered,3,VC_83_0,3,0.5274,0.99357438,0.524,1,1,1,1.0
1177,NZ_SRVK01000020.1_Mesorhizobium_sp._M1D.F.Ca.ET.234.01.1.1_NODE_20_length_62611_cov_118.691__whole_genome_shotgun_sequence,Unassigned,Unassigned,Unassigned,81_0,Clustered,8,VC_81_0,8,0.8173,0.99999997,0.8173,1,1,1,0.7143
1178,Nonlabens~phage~P12024L,Caudovirales,Siphoviridae,P12024virus,320_0,Clustered,2,VC_320_0,2,1.0,1.0,1.0,1,1,1,1.0
1179,Nonlabens~phage~P12024S,Caudovirales,Siphoviridae,P12024virus,320_0,Clustered,2,VC_320_0,2,1.0,1.0,1.0,1,1,1,1.0
1180,Oenococcus~phage~phi9805,Unassigned,Unassigned,Unassigned,127_0,Clustered,3,VC_127_0,3,0.5458,0.99718773,0.5442,1,1,1,1.0
1181,Oenococcus~phage~phiS11,Unassigned,Unassigned,Unassigned,127_0,Clustered,3,VC_127_0,3,0.5458,0.99718773,0.5442,1,1,1,1.0
1182,Oenococcus~phage~phiS13,Unassigned,Unassigned,Unassigned,127_0,Clustered,3,VC_127_0,3,0.5458,0.99718773,0.5442,1,1,1,1.0
1183,Paenibacillus~phage~Diva,Caudovirales,Siphoviridae,Sitaravirus,96_0,Clustered,7,VC_96_0,7,0.6422,1.0,0.6422,2,2,2,1.0
1184,Paenibacillus~phage~Fern,Caudovirales,Siphoviridae,Sitaravirus,96_0,Clustered,7,VC_96_0,7,0.6422,1.0,0.6422,2,2,2,1.0
1185,Paenibacillus~phage~HB10c2,Caudovirales,Siphoviridae,Sitaravirus,96_0,Clustered,7,VC_96_0,7,0.6422,1.0,0.6422,2,2,2,1.0
1186,Paenibacillus~phage~Rani,Caudovirales,Siphoviridae,Sitaravirus,96_0,Clustered,7,VC_96_0,7,0.6422,1.0,0.6422,2,2,2,1.0
1187,Paenibacillus~phage~Sitara,Caudovirales,Siphoviridae,Sitaravirus,96_0,Clustered,7,VC_96_0,7,0.6422,1.0,0.6422,2,2,2,1.0
1188,Paenibacillus~phage~Xenia,Unassigned,Unassigned,Unassigned,96_0,Clustered,7,VC_96_0,7,0.6422,1.0,0.6422,2,2,2,1.0
1189,Paenibacillus~phage~phiIBB_Pl23,Unassigned,Unassigned,Unassigned,96_0,Clustered,7,VC_96_0,7,0.6422,1.0,0.6422,2,2,2,1.0
1190,Pantoea~phage~LIMElight,Caudovirales,Podoviridae,Phikmvvirus,30_0,Clustered,17,VC_30_0,17,0.6353,1.0,0.6353,3,2,2,1.0
1191,Pasteurella~phage~F108,Caudovirales,Myoviridae,Hp1virus,61_0,Clustered,7,VC_61_0,7,0.5604,1.0,0.5604,2,2,2,1.0
1192,Pectobacterium~bacteriophage~PM2,Unassigned,Unassigned,Unassigned,32_9,Clustered/Singleton,1,VC_32_9,1,0.0,1.0,0.0,1,1,1,1.0
1193,Pectobacterium~phage~My1,Unassigned,Unassigned,Unassigned,251_1,Clustered/Singleton,1,VC_251_1,1,0.0,1.0,0.0,1,1,1,1.0
1194,Pectobacterium~phage~PM1,Unassigned,Unassigned,Unassigned,56_0,Clustered,5,VC_56_0,5,1.0,1.0,1.0,1,1,1,1.0
1195,Pectobacterium~phage~PP1,Unassigned,Unassigned,Unassigned,59_0,Clustered,15,VC_59_0,15,0.985,1.0,0.985,2,2,2,1.0
1196,Pectobacterium~phage~PP16,Unassigned,Unassigned,Unassigned,30_0,Clustered,17,VC_30_0,17,0.6353,1.0,0.6353,3,2,2,1.0
1197,Pectobacterium~phage~PP90,Unassigned,Unassigned,Unassigned,30_0,Clustered,17,VC_30_0,17,0.6353,1.0,0.6353,3,2,2,1.0
1198,Pectobacterium~phage~Peat1,Unassigned,Unassigned,Unassigned,30_0,Clustered,17,VC_30_0,17,0.6353,1.0,0.6353,3,2,2,1.0
1199,Pectobacterium~phage~phiTE,Caudovirales,Myoviridae,Cr3virus,222_1,Clustered/Singleton,1,VC_222_1,1,0.0,1.0,0.0,1,1,1,1.0
1200,Pediococcus~virus~cIP1,Caudovirales,Siphoviridae,Phijl1virus,248_0,Clustered,3,VC_248_0,3,0.872,0.99287596,0.8658,1,1,1,1.0
1201,Phage~MP22,Caudovirales,Siphoviridae,D3112virus,171_0,Clustered,18,VC_171_0,18,0.8458,1.0,0.8458,2,2,2,1.0
1202,Phormidium~phage~MIS-PhV1A,Unassigned,Unassigned,Unassigned,321_0,Clustered,2,VC_321_0,2,1.0,1.0,1.0,1,1,1,1.0
1203,Phormidium~phage~MIS-PhV1B,Unassigned,Unassigned,Unassigned,321_0,Clustered,2,VC_321_0,2,1.0,1.0,1.0,1,1,1,1.0
1204,Phormidium~phage~Pf-WMP3,Unassigned,Unassigned,Unassigned,65_0,Clustered,2,VC_65_0,2,0.5595,0.86822376,0.4858,1,1,1,1.0
1205,Polaribacter~phage~P12002L,Caudovirales,Siphoviridae,P12002virus,322_0,Clustered,2,VC_322_0,2,1.0,1.0,1.0,1,1,1,1.0
1206,Polaribacter~phage~P12002S,Caudovirales,Siphoviridae,P12002virus,322_0,Clustered,2,VC_322_0,2,1.0,1.0,1.0,1,1,1,1.0
1207,Prochlorococcus~phage~MED4-184,Unassigned,Unassigned,Unassigned,235_0,Clustered,2,VC_235_0,2,0.7672,0.72985431,0.5599,1,1,1,1.0
1208,Prochlorococcus~phage~MED4-213,Unassigned,Unassigned,Unassigned,179_0,Clustered,3,VC_179_0,3,0.0503,0.99846724,0.0502,1,1,1,1.0
1209,Prochlorococcus~phage~P-GSP1,Unassigned,Unassigned,Unassigned,202_0,Clustered,19,VC_202_0,19,0.9044,1.0,0.9044,1,1,1,1.0
1210,Prochlorococcus~phage~P-HM1,Unassigned,Unassigned,Unassigned,179_0,Clustered,3,VC_179_0,3,0.0503,0.99846724,0.0502,1,1,1,1.0
1211,Prochlorococcus~phage~P-HM2,Unassigned,Unassigned,Unassigned,179_0,Clustered,3,VC_179_0,3,0.0503,0.99846724,0.0502,1,1,1,1.0
1212,Prochlorococcus~phage~P-RSM4,Unassigned,Unassigned,Unassigned,179_30,Clustered/Singleton,1,VC_179_30,1,0.0,1.0,0.0,1,1,1,1.0
1213,Prochlorococcus~phage~P-SSM2,Unassigned,Unassigned,Unassigned,179_21,Clustered/Singleton,1,VC_179_21,1,0.0,1.0,0.0,1,1,1,1.0
1214,Prochlorococcus~phage~P-SSM3,Unassigned,Unassigned,Unassigned,179_28,Clustered,2,VC_179_28,2,0.0163,0.94743821,0.0154,1,1,1,1.0
1215,Prochlorococcus~phage~P-SSM4,Unassigned,Unassigned,Unassigned,179_28,Clustered,2,VC_179_28,2,0.0163,0.94743821,0.0154,1,1,1,1.0
1216,Prochlorococcus~phage~P-SSM7,Unassigned,Unassigned,Unassigned,179_31,Clustered/Singleton,1,VC_179_31,1,0.0,1.0,0.0,1,1,1,1.0
1217,Prochlorococcus~phage~P-SSP10,Unassigned,Unassigned,Unassigned,202_0,Clustered,19,VC_202_0,19,0.9044,1.0,0.9044,1,1,1,1.0
1218,Prochlorococcus~phage~P-SSP3,Unassigned,Unassigned,Unassigned,202_0,Clustered,19,VC_202_0,19,0.9044,1.0,0.9044,1,1,1,1.0
1219,Prochlorococcus~phage~P-SSP7,Unassigned,Unassigned,Unassigned,202_0,Clustered,19,VC_202_0,19,0.9044,1.0,0.9044,1,1,1,1.0
1220,Prochlorococcus~phage~P-TIM68,Unassigned,Unassigned,Unassigned,179_19,Clustered/Singleton,1,VC_179_19,1,0.0,1.0,0.0,1,1,1,1.0
1221,Prochlorococcus~phage~Syn1,Unassigned,Unassigned,Unassigned,179_17,Clustered/Singleton,1,VC_179_17,1,0.0,1.0,0.0,1,1,1,1.0
1222,Prochlorococcus~phage~Syn33,Unassigned,Unassigned,Unassigned,179_6,Clustered,6,VC_179_6,6,0.0749,0.99999985,0.0749,1,1,1,1.0
1223,Propionibacterium~phage~ATCC29399B_C,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1224,Propionibacterium~phage~ATCC29399B_T,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1225,Propionibacterium~phage~Attacne,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1226,Propionibacterium~phage~BruceLethal,Unassigned,Unassigned,Unassigned,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1227,Propionibacterium~phage~Enoki,Unassigned,Unassigned,Unassigned,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1228,Propionibacterium~phage~Kubed,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1229,Propionibacterium~phage~Lauchelly,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1230,Propionibacterium~phage~Moyashi,Unassigned,Unassigned,Unassigned,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1231,Propionibacterium~phage~MrAK,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1232,Propionibacterium~phage~Ouroboros,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1233,Propionibacterium~phage~P1.1,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1234,Propionibacterium~phage~P100D,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1235,Propionibacterium~phage~P100_1,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1236,Propionibacterium~phage~P100_A,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1237,Propionibacterium~phage~P101A,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1238,Propionibacterium~phage~P104A,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1239,Propionibacterium~phage~P105,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1240,Propionibacterium~phage~P14.4,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1241,Propionibacterium~phage~P9.1,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1242,Propionibacterium~phage~PA1-14,Unassigned,Unassigned,Unassigned,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1243,Propionibacterium~phage~PA6,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1244,Propionibacterium~phage~PAC1,Unassigned,Unassigned,Unassigned,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1245,Propionibacterium~phage~PAD20,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1246,Propionibacterium~phage~PAS50,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1247,Propionibacterium~phage~PFR1,Caudovirales,Siphoviridae,Pfr1virus,324_0,Clustered,2,VC_324_0,2,1.0,1.0,1.0,2,2,2,1.0
1248,Propionibacterium~phage~PFR2,Unassigned,Unassigned,Unassigned,324_0,Clustered,2,VC_324_0,2,1.0,1.0,1.0,2,2,2,1.0
1249,Propionibacterium~phage~PHL009M11,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1250,Propionibacterium~phage~PHL010M04,Unassigned,Unassigned,Unassigned,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1251,Propionibacterium~phage~PHL025M00,Caudovirales,Siphoviridae,Pa6virus,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
1252,Propionibacterium~phage~PHL030N00,Unassigned,Unassigned,Unassigned,323_0,Clustered,59,VC_323_0,59,1.0,1.0,1.0,2,2,2,1.0
